id,name,email,date,score,amount,category
57,Jordan Martinez,jordan.martinez@test.net,2020/03/25,24,$953.88,Retail
58,Alex Brown,alex.brown@mail.com,05-05-2024,80,$136.49,e-comm
59,Jordan Wilson, jordan.wilson@test.net ,,16,1658.77, wholesale 
60,  PARKER GARCIA  ,..PARKER.GARCIA..@SAMPLE.ORG,2024-09-06,1373,"$1,196.51",retail
61,ROBIN ANDERSON,robin.anderson@test.net,2024/05/25,86,"$1,968.96",ONLINE
62,QUINN JONES, quinn.jones@example.com ,20/06/2020,1507,"$1,662.94",retail
63,chris johnson,CHRIS.JOHNSON@SAMPLE.ORG,2024/08/26,90, 1233 ,retail
64,CASEY JOHNSON,casey johnson@test net,2023-01-02,91,861.33, Wholesale 
65,Parker Rodriguez, parker.rodriguez@test.net ,2024-06-02,80, 1166 ,ONLINE
66,robin williams,robin.williamstest.net,2024-12-19,50,"$1,088.35",E-Commerce
67,Parker Miller,PARKER.MILLER@TEST.NET,01-22-2022,10,"$1,990.22",ONLINE
68,avery garcia,avery.garcia@sample.org,2024-06-08,46,"$1,501.05", Retail 
69,Riley Miller,riley.miller@test.net,21/03/2023,83,"$1,921.24",retail
70,  Lee Jones  ,..lee.jones..@mail.com,2022-06-30,2918,1337.34,ONLINE
71,  jamie brown  ,..jamie.brown..test.net,03/07/2024,39,"$1,435.28",Wholesale
72,Robin Rodriguez,ROBIN.RODRIGUEZ@MAIL.COM,2024-11-13,38,648.71,wholesale
73,  Casey Wilson  ,..casey.wilson..@mail.com,2021-11-22,5,"$1,543.19",retail
74,CASEY GARCIA,CASEY GARCIA@TEST NET,2022/09/18,40,642.04, Wholesale 
75,MORGAN WILLIAMS, morgan.williams@test.net ,11-01-2021,65,"$1,758.76",Retail
76,Sam Wilson,sam.wilson@example.com,01-29-2024,51,"$1,125.82", ONLINE 
77,Jordan Williams, jordan.williams@sample.org ,2023/05/18,17, 1609 , wholesale 
78,Lee Miller,LEE.MILLER@SAMPLE.ORG,2020/08/12,NA,"$1,195.83",e-comm
79,  Robin Anderson  , ..robin.anderson..mail.com ,2020/02/08,88,1006.13,E-Commerce
80,jamie davis,jamie.davis@sample.org,10-26-2023,31,600.51,E-Commerce
81,parker anderson,parker.anderson@test.net,02/05/2024,91,1848.4,retail
82,LEE BROWN,lee brown@mail com,24/07/2020,20,1870.39,retail
83,  Morgan Rodriguez  ,..morgan.rodriguez..@mail.com,2020/03/15,95, 1852 ,wholesale
84,  Drew Williams  ,..drew.williams..@example.com,11/01/2024,37,"$1,515.78",E-Commerce
85,taylor garcia,taylor.garcia@mail.com,2023-04-07,30,$240.86,Wholesale
86,  casey miller  ,..casey.miller..@mail.com,2023/12/08,,1524.91, E-Commerce 
87,  JAMIE RODRIGUEZ  ,..jamie.rodriguez..@test.net,2020/07/05,65,1130.0,ONLINE
88,RILEY ANDERSON,riley.anderson@example.com,03/01/2021,3743,752.05,Wholesale
89,taylor rodriguez,taylor.rodriguez@example.com,2024/01/12,,$923.95,retail
90,drew smith, drew.smith@test.net ,2024-02-25,27,"$1,553.25",ONLINE
91,Morgan Jones,MORGAN.JONES@TEST.NET,06/12/2024,63,692.11,wholesale
92,Quinn Brown,quinn.brown@example.com,2020/10/01,82,$902.32,wholesale
93,Morgan Taylor,morgan.taylor@test.net,01/02/2020,1261,1495.02,e-comm
94,Jamie Martinez,jamie.martinez@test.net,04-08-2024,52, 1729 ,wholesale
95,Quinn Brown,quinn.brown@sample.org,2024/02/23,45,"$1,442.03",wholesale
96,,ALEX.TAYLOR@EXAMPLE.COM,2022-02-03,,"$1,320.27",wholesale
97,  parker williams  ,..parker.williams..@mail.com,2024/06/16,4060,1132.18,e-comm
98,Chris Rodriguez,chris.rodriguez@example.com,2023-03-04,2182,426.78,Wholesale
99,  taylor miller  ,..taylor.miller..@test.net,2023/03/06,49,284.2,wholesale
100,  Lee Wilson  ,..lee.wilson..@sample.org,2023/02/06,84,"$1,545.47",retail
101,riley miller,,2022/06/01,13,$711.06,wholesale
102,  Morgan Wilson  , ..morgan.wilson..@sample.org ,06-09-2022,9,1888.72, wholesale 
103,Parker Miller,parker.miller@mail.com,09-08-2022,40,"$1,391.44",wholesale
104,morgan wilson,morgan.wilson@example.com,06-16-2022,52,$282.66,ONLINE
105,Chris Rodriguez,chris.rodriguez@example.com,2023-01-04,85,"$1,295.76",e-comm
106,Casey Brown,casey.brown@mail.com,20/04/2023,13,"$1,841.49",E-Commerce
107,Sam Johnson, sam.johnsonsample.org ,2021-12-03,94,$353.03,wholesale
108,Chris Smith,chris.smith@test.net,2024-03-20,,$734.76,Retail
109,Lee Johnson,lee.johnson@sample.org,2021-10-03,47,"$1,024.10",retail
110,  TAYLOR RODRIGUEZ  ,..taylor.rodriguez..@test.net,19/09/2022,71,992.46,E-Commerce
111,Morgan Rodriguez, MORGAN.RODRIGUEZ@TEST.NET ,05-06-2024,abc, 1095 ,E-Commerce
112,jordan garcia,jordan.garcia@mail.com,2023/12/26,26,1611.85,wholesale
113,drew martinez,drew.martinez@test.net,16/09/2020,31,"$1,354.09",wholesale
114,Chris Rodriguez, chris.rodriguez@test.net ,2024-05-04,85,1700.96,Wholesale
115,Quinn Garcia,quinn garcia@example com,11/09/2020,54,"$1,378.74",e-comm
116,ROBIN MARTINEZ, ROBIN.MARTINEZ@MAIL.COM ,2021/03/13,66,23.53,E-Commerce
117,riley miller, riley.miller@mail.com ,2023-02-27,44,"$1,258.02",Wholesale
118,Avery Davis,AVERY.DAVIS@MAIL.COM,05-13-2023,84, 415 ,Wholesale
119,Sam Martinez,SAM.MARTINEZ@SAMPLE.ORG,2023/03/10,97,"$1,974.80", wholesale 
120,Robin Anderson, robin.anderson@example.com ,06-20-2020,1572,"$1,075.10",e-comm
121,  MORGAN SMITH  ,..morgan.smith..@example.com,2020-09-01,20,696.68, ONLINE 
122,  Alex Miller  , ..alex.miller..@example.com ,25/10/2024,13,"$1,349.87",e-comm
123,Taylor Williams,taylor.williams@test.net,10-17-2021,15,"$1,804.37",E-Commerce
124,CASEY MILLER,casey.miller@sample.org,08-08-2022,98,1466.26, retail 
125,Riley Smith,riley.smith@sample.org,2022-10-04,35,1842.94,e-comm
126,chris johnson,chris.johnson@mail.com,2024/06/28,40, 471 ,E-Commerce
127,Parker Brown,parker.brown@example.com,2023-11-28,1515,$186.97,ONLINE
128,  Quinn Garcia  ,,27/08/2024,null, 1374 ,wholesale
129,drew taylor,drew.taylor@mail.com,2022-10-13,45,$378.37, retail 
130,  alex johnson  ,,02-22-2022,null,1825.79, retail 
131,  riley taylor  ,..riley.taylor..@mail.com,2024-02-18,3481,712.84,retail
132,  Riley Wilson  , ..RILEY.WILSON..@TEST.NET ,25/04/2020,61,"$1,836.20",retail
133,Avery Williams,avery.williams@example.com,07-25-2020,20,876.55, ONLINE 
134,Lee Williams,lee.williams@mail.com,2022-03-12,78, 1133 , e-comm 
135,  Robin Martinez  ,..ROBIN.MARTINEZ..@MAIL.COM,2020-08-09,53,"$1,769.68",Wholesale
136,  Morgan Williams  , ..morgan.williams..@example.com ,2020/12/14,11,1970.63,Wholesale
137,Morgan Davis, morgan.davis@sample.org ,2022/03/15,54,1648.68, Retail 
138,  Chris Garcia  ,..chris.garcia..@test.net,2022-07-01,28,"$1,130.67",e-comm
139,Jamie Smith,jamie.smith@test.net,2022-03-19,4981, 1357 ,E-Commerce
140,Jordan Martinez,jordan.martinez@sample.org,2020/06/27,35,"$1,834.74",e-comm
141,  Parker Johnson  ,..parker.johnson..@sample.org,2021/06/24,60,$554.45,wholesale
142,sam jones,sam.jones@sample.org,2023-11-03,38,889.01,Wholesale
143,  Jamie Miller  ,..jamie.miller..@sample.org,2022-12-09,1944,"$1,674.77", Wholesale 
144,drew johnson,drew.johnson@test.net,12-17-2021,1040,$573.71,retail
145,Robin Davis, ROBIN.DAVIS@EXAMPLE.COM ,2024-06-28,39,"$1,420.19",Wholesale
146,LEE JOHNSON,lee.johnson@sample.org,2023-11-02,35,"$1,723.68",e-comm
147,Quinn Taylor,quinn.taylor@mail.com,2021/06/15,74,"$1,146.22",e-comm
148,  Casey Williams  ,..casey.williams..@example.com,18/02/2023,1031,$448.40,E-Commerce
149,Sam Smith, SAM.SMITH@EXAMPLE.COM ,2023/10/26,19,$404.59,wholesale
150,  Riley Martinez  , ..riley.martinez..@test.net ,14/04/2024,NA,$263.16,Wholesale
151,  Alex Miller  ,..alex.miller..@example.com,12-06-2021,75,$135.25,ONLINE
152,drew garcia,drew.garciatest.net,2021-03-08,46,"$1,585.29",e-comm
153,Alex Smith,ALEX.SMITH@SAMPLE.ORG,2023-07-14,84,1247.48,Retail
154,Parker Jones,PARKER.JONES@TEST.NET,2021/03/01,85,225.31,Retail
155,  casey jones  ,..casey.jones..@example.com,2022-05-22,NA,$24.30, e-comm 
156,QUINN MILLER,quinn.miller@sample.org,13/05/2022,7,"$1,689.48",wholesale
157,Quinn Martinez,QUINN.MARTINEZ@TEST.NET,2020-04-04,90,1052.01,retail
158,ROBIN ANDERSON,robin.anderson@test.net,2023-06-09,4441,1698.45,Retail
159,chris davis,chris davis@test net,2022-10-15,71,1652.69,e-comm
160,Alex Brown,alex.brown@test.net,18/07/2020,81,587.51,Retail
161,  MORGAN BROWN  ,..MORGAN.BROWN..@MAIL.COM,2023-07-20,84, 1011 , e-comm 
162,  Taylor Anderson  ,..taylor.anderson..@test.net,2024/12/10,88,550.82,Wholesale
163,Jamie Miller,jamie.miller@mail.com,09/10/2023,22,"$1,390.15",Retail
164,Drew Rodriguez,DREW.RODRIGUEZEXAMPLE.COM,02-13-2021,36,$297.12,E-Commerce
165,Avery Rodriguez,avery.rodriguez@mail.com,2023-11-20,100, 629 ,ONLINE
166,Avery Martinez,avery.martinez@mail.com,2020-12-29,65,$86.07, ONLINE 
167,Taylor Miller,taylor.miller@sample.org,05-24-2024,4564,141.01,wholesale
168,Parker Wilson,parker.wilson@example.com,08/08/2023,41,"$1,593.43",ONLINE
169,  SAM GARCIA  ,..SAM.GARCIA..@EXAMPLE.COM,2023-01-06,80,"$1,730.58",Retail
170,jordan anderson,JORDAN ANDERSON@EXAMPLE COM,2023-02-16,33,$905.00, ONLINE 
171,lee smith,lee.smith@example.com,2021/07/30,NA, 951 ,Wholesale
172,  Parker Anderson  ,..PARKER.ANDERSON..@MAIL.COM,2023-01-05,92,828.25, retail 
173,Alex Taylor, ALEX.TAYLOR@EXAMPLE.COM ,2024/01/26,85,204.59,ONLINE
174,parker miller,parker.miller@mail.com,06/01/2022,61,$720.69, wholesale 
175,Morgan Jones,morgan.jones@example.com,2023/03/31,4,1089.22, E-Commerce 
176,  JAMIE RODRIGUEZ  ,..jamie.rodriguez..@mail.com,05/12/2020,72,1935.63, ONLINE 
177,Jamie Taylor, jamie.taylorexample.com ,12-03-2022,69,$756.44,wholesale
178,Riley Miller,riley.miller@mail.com,29/07/2021,77,$241.07,E-Commerce
179,chris smith,CHRIS.SMITH@MAIL.COM,24/04/2020,51,"$1,129.39",e-comm
180,  SAM WILLIAMS  , ..sam.williams..@mail.com ,11-05-2023,8,$774.00,retail
181,Drew Wilson,drew wilson@example com,2023-01-09,abc,"$1,046.48",Retail
182,Parker Anderson,parker.anderson@test.net,,3647,$519.32,e-comm
183,RILEY JOHNSON,riley.johnson@test.net,24/03/2022,abc,361.55,ONLINE
184,  Morgan Garcia  ,..morgan.garcia..@test.net,2023-11-02,343,1609.72,wholesale
185,Chris Wilson,chris.wilson@example.com,2022-06-18,66,72.05,retail
186,Casey Taylor, casey.taylor@mail.com ,,74,"$1,926.76",wholesale
187,jamie jones,jamie.jones@sample.org,2023/11/22,98,682.62,wholesale
188,Avery Brown,avery.brown@example.com,03-28-2022,4203,$631.18,wholesale
189,  avery brown  ,..avery.brown..@mail.com,2020-09-02,78,1714.89,ONLINE
190,parker rodriguez,parker.rodriguez@example.com,03-07-2020,22,245.13, Retail 
191,JAMIE JONES,jamie.jones@sample.org,03-20-2024,57,266.62,Retail
192,avery williams,avery.williams@mail.com,01-15-2024,71,$100.18, retail 
193,Riley Miller,riley.miller@example.com,25/05/2023,68,"$1,561.72",e-comm
194,Taylor Williams, TAYLOR.WILLIAMS@TEST.NET ,04-12-2021,34,793.93,ONLINE
195,Morgan Martinez, MORGAN.MARTINEZ@MAIL.COM ,2024/12/04,50,"$1,992.05", wholesale 
196,  ROBIN WILLIAMS  ,..robin.williams..@sample.org,11-18-2024,89,"$1,183.71",e-comm
197,Jamie Brown,JAMIE.BROWN@SAMPLE.ORG,,1,986.4,E-Commerce
198,CHRIS BROWN,CHRIS.BROWN@TEST.NET,11-24-2022,34,"$1,707.70", ONLINE 
199,taylor smith,taylor.smith@sample.org,2021-04-21,43,"$1,572.52",ONLINE
200,  PARKER DAVIS  , ..parker.davis..@sample.org ,22/04/2024,2324,"$1,476.55",Wholesale
201,DREW MILLER, drew.miller@example.com ,,14,$871.15,E-Commerce
202,  lee williams  ,..lee.williams..@example.com,2024-04-04,89,$219.25,ONLINE
203,avery davis,avery.davis@test.net,30/09/2022,41,554.27, wholesale 
204,Parker Martinez,parker.martinez@sample.org,2023/09/10,98,"$1,228.01",e-comm
205,  alex brown  ,..alex.brown..@test.net,2021-06-08,9,1842.47, E-Commerce 
206,Riley Taylor, riley.taylor@example.com ,2021-03-18,49,"$1,054.75",e-comm
207,  Robin Garcia  ,..robin.garcia..@mail.com,2022/12/29,4806,"$1,982.97",ONLINE
208,Chris Taylor,chris.taylor@test.net,2021-08-05,2772,18.1, ONLINE 
209,drew wilson,drew.wilson@mail.com,06-08-2021,27, 1449 ,E-Commerce
210,Parker Wilson,parker.wilson@sample.org,2024-11-12,83,1857.66,Retail
211,Alex Martinez,alex.martinez@example.com,09-27-2020,6,$528.80,Wholesale
212,  Morgan Rodriguez  ,..morgan.rodriguez..@example.com,2023-03-25,46, 645 , ONLINE 
213,DREW BROWN,DREW.BROWN@EXAMPLE.COM,10-29-2020,14,$945.02,e-comm
214,,TAYLOR.ANDERSON@EXAMPLE.COM,11-27-2023,1,1322.44,ONLINE
215,  Jordan Miller  ,..jordan.miller..@mail.com,2020-02-14,42,"$1,490.06",e-comm
216,Robin Jones,robin.jones@example.com,2021/11/30,48,1357.6,Wholesale
217,MORGAN MARTINEZ,morgan.martinez@mail.com,2020/10/03,1489, 1314 ,Retail
218,Parker Miller,parker.miller@test.net,,16,1526.08,wholesale
219,  Quinn Wilson  , ..QUINN.WILSON..@TEST.NET ,2020/03/07,34,449.0, retail 
220,Sam Brown,sam.brown@test.net,2023-03-17,5,495.21,Retail
221,,casey.taylor@example.com,2023/08/16,23, 1876 ,Wholesale
222,  Riley Anderson  ,  riley anderson  @example com,2020/06/23,1609,$760.46, E-Commerce 
223,PARKER ANDERSON,PARKER.ANDERSON@TEST.NET,2021-02-19,58,999.79,Wholesale
224,Morgan Rodriguez,MORGAN.RODRIGUEZMAIL.COM,16/03/2020,77,"$1,841.17",Wholesale
225,Jamie Williams,jamie williams@example com,2022-02-15,NA,$589.20,e-comm
226,  Lee Anderson  ,..lee.anderson..@sample.org,03-23-2023,63,"$1,265.56",retail
227,,parker.johnson@test.net,29/07/2023,36,$140.33,wholesale
228,Taylor Brown,taylor.brown@test.net,2023/07/08,42, 1629 ,wholesale
229,Parker Taylor,parker.taylor@example.com,2020/12/05,100,"$1,412.01",Retail
230,  JAMIE JONES  , ..jamie.jones..@mail.com ,15/09/2022,4589,$624.17,E-Commerce
231,  Sam Davis  , ..sam.davis..@example.com ,2022-08-14,null,49.85,retail
232,taylor williams,taylor.williams@example.com,10-16-2020,39,$680.78, retail 
233,Avery Wilson,avery.wilson@test.net,2023-12-31,abc,"$1,137.74",E-Commerce
234,MORGAN BROWN,morgan.brown@sample.org,06-03-2024,60,959.91,ONLINE
235,Robin Johnson, robin.johnson@test.net ,2022/09/14,88,"$1,569.71",E-Commerce
236,QUINN GARCIA,QUINN.GARCIA@EXAMPLE.COM,2020-05-22,,"$1,291.75",retail
237,  Jamie Jones  ,..jamie.jones..@sample.org,,78,$811.37, ONLINE 
238,CASEY SMITH,casey.smith@sample.org,08/03/2021,,$723.77,ONLINE
239,CHRIS WILLIAMS,chris.williams@test.net,30/06/2023,57,$455.35,Retail
240,Riley Smith, riley.smith@example.com ,02-04-2024,78,947.54,Retail
241,Alex Garcia,alex.garcia@sample.org,15/08/2021,2790, 1455 ,Wholesale
242,sam johnson,sam.johnson@sample.org,2020-01-30,1538,"$1,320.02",retail
243,Jordan Williams,jordan.williams@test.net,29/07/2023,44, 532 ,Wholesale
244,avery davis,avery.davis@example.com,2021-10-08,45,866.41,ONLINE
245,Morgan Anderson, MORGAN.ANDERSON@MAIL.COM ,2020-05-19,87,$442.74, retail 
246,  LEE MARTINEZ  ,..lee.martinez..@mail.com,02/07/2024,32,"$1,322.65",Wholesale
247,TAYLOR TAYLOR,taylor.taylor@sample.org,2020/12/30,1943,"$1,222.55", Wholesale 
248,casey johnson,casey.johnsontest.net,2020-01-02,89,$785.70,e-comm
249,JAMIE BROWN,jamie.brown@test.net,11-13-2021,82, 1072 ,Wholesale
250,casey anderson,casey anderson@test net,2020-10-13,75,780.59,Wholesale
251,parker anderson,parker.anderson@test.net,26/02/2024,18,43.03,retail
252,SAM WILSON,sam.wilson@example.com,09/05/2020,abc,651.85,retail
253,casey williams, casey.williams@mail.com ,2020/07/23,62,19.41,wholesale
254,Robin Jones,robin.jones@example.com,06-29-2020,30,1973.27,E-Commerce
255,Morgan Johnson,MORGAN.JOHNSON@TEST.NET,04-20-2020,42,"$1,780.71",Retail
256,Drew Brown,drew.brown@mail.com,08-13-2020,52,$754.19,Wholesale
257,riley williams,RILEY.WILLIAMS@SAMPLE.ORG,05-02-2020,4056,839.36,ONLINE
258,QUINN BROWN,quinn.brown@mail.com,2024/02/04,41,448.7,wholesale
259,Chris Rodriguez,chris.rodriguez@example.com,2020/01/26,,"$1,997.91",e-comm
260,Quinn Anderson,QUINN.ANDERSON@TEST.NET,02-27-2022,96,1892.46,E-Commerce
261,RILEY SMITH,riley.smith@sample.org,22/02/2023,69,959.59,e-comm
262,CASEY SMITH,casey.smith@example.com,2021/08/21,NA, 381 ,Wholesale
263,Sam Williams,sam.williams@sample.org,08-28-2022,2,130.58,wholesale
264,Avery Rodriguez,avery.rodriguez@mail.com,2021/04/09,6,572.34,retail
265,,taylor.williams@mail.com,2023-12-19,1511, 749 , ONLINE 
266,Avery Rodriguez,avery.rodriguez@test.net,20/03/2023,56,$229.07, Retail 
267,JORDAN MILLER, jordan.miller@mail.com ,2020/06/20,4492,$791.88,wholesale
268,Riley Davis,RILEY.DAVIS@TEST.NET,2022/06/28,93, 851 ,wholesale
269,drew wilson,drew.wilson@sample.org,26/03/2024,null,"$1,109.96",E-Commerce
270,Taylor Jones,taylor.jones@example.com,04/10/2022,abc,"$1,988.69",e-comm
271,  Quinn Johnson  ,..QUINN.JOHNSON..@SAMPLE.ORG,03/12/2024,46,"$1,824.65",ONLINE
272,LEE TAYLOR,lee.taylor@sample.org,12-30-2022,66,"$1,558.72", retail 
273,Quinn Rodriguez, quinn.rodriguez@example.com ,2020-09-25,46,886.67, ONLINE 
274,avery brown,,2024/05/05,13,1321.28, ONLINE 
275,  morgan williams  , ..morgan.williams..@sample.org ,22/10/2022,74,1060.03,retail
276,Avery Garcia,avery.garcia@example.com,14/03/2021,null,$251.61,retail
277,Chris Jones,chris.jones@test.net,26/05/2022,4196,"$1,878.47",Retail
278,  Taylor Davis  ,  taylor davis  @mail com,2023/05/03,abc,560.64,ONLINE
279,  Sam Rodriguez  ,..sam.rodriguez..@sample.org,2020-03-01,abc,1357.82,e-comm
280,Sam Taylor,sam.taylor@sample.org,2020-02-06,1275,$770.34,Wholesale
281,Taylor Garcia,taylor.garcia@example.com,2023/01/09,4450,$116.20,wholesale
282,Alex Williams,alex.williams@example.com,,7,498.99, e-comm 
283,Lee Rodriguez,lee.rodriguez@example.com,2023-03-18,86,995.98,retail
284,QUINN RODRIGUEZ,quinn.rodriguez@test.net,2024-01-09,72,$953.16, E-Commerce 
285,Chris Davis,chris.davis@mail.com,2021/01/17,4128,539.53,E-Commerce
286,,taylor.brown@test.net,22/07/2023,36,516.61, Retail 
287,  DREW SMITH  ,..DREW.SMITH..@SAMPLE.ORG,2024/01/19,10,$599.47,Wholesale
288,  Morgan Johnson  ,..MORGAN.JOHNSON..@SAMPLE.ORG,05-02-2024,49,1489.2, Retail 
289,Riley Anderson,riley.anderson@mail.com,2022/01/13,NA, 1293 ,e-comm
290,Casey Martinez,casey.martinez@example.com,2020/01/17,2764,185.05,retail
291,parker smith,parker.smith@test.net,2024/01/09,,1398.47,wholesale
292,  Taylor Martinez  , ..taylor.martinez..@mail.com ,19/11/2020,1365,1694.69,ONLINE
293,CASEY BROWN,casey.brown@test.net,17/02/2020,1924, 527 ,wholesale
294,Avery Rodriguez, avery.rodriguez@test.net ,10-31-2024,16,$417.18,E-Commerce
295,Casey Brown,casey brown@test net,2023/11/20,90,"$1,196.41", wholesale 
296,  Parker Wilson  ,..parker.wilson..@test.net,2023-02-19,64,$681.66,Retail
297,Quinn Jones,quinn.jones@sample.org,2021/10/03,62,306.77,E-Commerce
298,SAM DAVIS,sam.davis@test.net,2022-10-06,1312,$702.46, ONLINE 
299,, lee.smith@example.com ,2021-11-04,1299,791.37,E-Commerce
300,robin smith,robin.smith@test.net,20/06/2024,82,1597.3,wholesale
301,QUINN BROWN,quinn.brown@mail.com,07-09-2024,45,1664.95,Wholesale
302,chris martinez,chris.martinez@test.net,2022-10-11,61,1968.45,retail
303,CHRIS DAVIS,chris.davis@sample.org,2020-02-03,100,$788.95,e-comm
304,drew taylor,DREW.TAYLOR@SAMPLE.ORG,2020/01/12,61,813.16,e-comm
305,  chris taylor  , ..chris.taylor..@example.com ,24/02/2020,30, 1254 ,ONLINE
306,Sam Garcia,sam.garcia@mail.com,2021-11-14,abc,1959.08,wholesale
307,  Drew Martinez  ,..drew.martinez..@example.com,05-10-2020,60,1247.28, Wholesale 
308,Drew Martinez,drew.martinez@test.net,05-03-2022,,"$1,245.58", e-comm 
309,SAM JONES, sam.jones@sample.org ,2024-08-22,14,$245.77,ONLINE
310,  Quinn Anderson  ,..quinn.anderson..@example.com,2024-09-19,NA,"$1,648.10", Retail 
311,  Parker Rodriguez  ,..PARKER.RODRIGUEZ..@SAMPLE.ORG,2022/06/18,60,"$1,012.52",ONLINE
312,PARKER BROWN,parker.brown@test.net,2020/03/01,66,$174.13, E-Commerce 
313,Alex Martinez,alex.martinez@sample.org,11-24-2024,44,563.16,e-comm
314,  Riley Taylor  ,  riley taylor  @sample org,12/01/2024,27,1105.81, retail 
315,chris rodriguez,chris.rodriguez@sample.org,07-08-2022,43,1611.75,e-comm
316,LEE MARTINEZ,lee.martinez@example.com,2022/01/09,52,129.08, Wholesale 
317,Lee Garcia, lee.garcia@test.net ,01/11/2022,90,1060.64,Retail
